mcode,l_title,f_mchapter_id,l_type_nm,f_mchapter_nm
T1ME11U01006,"1, 2, 3, 4, 5를 알아볼까요",14201779,기)교과서 진도학습,"1, 2, 3, 4, 5 알아보기"
T1ME11U01008,순서를 알아볼까요,14201781,기)교과서 진도학습,9까지 수의 순서
T1ME11U01009,수의 순서를 알아볼까요,14201781,기)교과서 진도학습,9까지 수의 순서
T1ME11U03013,덧셈을 해 볼까요,14201789,기)교과서 진도학습,덧셈
T1ME11U03012,덧셈을 알아볼까요,14201789,기)교과서 진도학습,덧셈
T1ME21U01011,수의 크기를 비교해 볼까요,14201806,기)교과서 진도학습,두 수의 크기 비교
T1ME11U03015,뺄셈을 해 볼까요,14201790,기)교과서 진도학습,뺄셈
T1ME11U03014,뺄셈을 알아볼까요,14201790,기)교과서 진도학습,뺄셈
T1ME11U03015,뺄셈을 해 볼까요,14201791,기)교과서 진도학습,덧셈과 뺄셈
T1ME11U03016,0이 있는 덧셈과 뺄셈을 해 볼까요,14201791,기)교과서 진도학습,덧셈과 뺄셈
T1ME11U03017,덧셈과 뺄셈을 해 볼까요,14201791,기)교과서 진도학습,덧셈과 뺄셈
T1ME11U05007,십몇을 알아볼까요,14201799,기)교과서 진도학습,십몇 알아보기
T1ME11U05008,모으기와 가르기를 해 볼까요,14201799,기)교과서 진도학습,십몇 알아보기
T1ME11U05009,10개씩 묶어 세어 볼까요,14201800,기)교과서 진도학습,몇십과 몇십몇을 알아보기
T1ME11U05010,50까지의 수를 세어 볼까요,14201800,기)교과서 진도학습,몇십과 몇십몇을 알아보기
T1ME21U01006,백을 알아볼까요,14201803,기)교과서 진도학습,백과 몇백 알아보기
T1ME21U01007,몇백을 알아볼까요,14201803,기)교과서 진도학습,백과 몇백 알아보기
T1ME21U02006,△을 알아보고 찾아볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02008,○을 알아보고 찾아볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02009,칠교판으로 모양을 만들어 볼까요,14201807,기)교과서 진도학습,도형
T1ME21U02007,□을 알아보고 찾아볼까요,14201807,기)교과서 진도학습,도형
T1ME21U03010,여러 가지 방법으로 덧셈을 해 볼까요(1),14201809,기)교과서 진도학습,덧셈
T1ME21U03011,여러 가지 방법으로 덧셈을 해 볼까요(2),14201809,기)교과서 진도학습,덧셈
T1ME21U03012,덧셈을 해 볼까요,14201809,기)교과서 진도학습,덧셈
T1ME11U02008,모양 찾기 놀이를 해 볼까요,14201784,기)교과서 진도학습,여러 가지 모양 찾아보기
T1ME11U02005,여러 가지 모양을 찾아볼까요,14201784,기)교과서 진도학습,여러 가지 모양 찾아보기
T1ME21U01010,뛰어 세어 볼까요,14201805,기)교과서 진도학습,뛰어 세기
T1ME21U03013,여러 가지 방법으로 뺄셈을 해 볼까요(1),14201810,기)교과서 진도학습,뺄셈
T1ME21U03014,여러 가지 방법으로 뺄셈을 해 볼까요(2),14201810,기)교과서 진도학습,뺄셈
T1ME21U03015,뺄셈을 해 볼까요,14201810,기)교과서 진도학습,뺄셈
T1ME11U02008,모양 찾기 놀이를 해 볼까요,14201785,기)교과서 진도학습,여러 가지 모양 알아보기
T1ME11U02006,여러 가지 모양을 알아볼까요,14201785,기)교과서 진도학습,여러 가지 모양 알아보기
T1ME11U02007,여러 가지 모양으로 만들어 볼까요,14201785,기)교과서 진도학습,여러 가지 모양 알아보기
T1ME21U01008,세 자리 수를 알아볼까요,14201804,기)교과서 진도학습,세 자리 수 알아보기
T1ME21U01009,각 자리의 숫자는 얼마를 나타낼까요,14201804,기)교과서 진도학습,세 자리 수 알아보기
T1ME21U02010,"쌓은 모양을 알아보고, 여러 가지 모양으로 쌓아 볼까요",14201808,기)교과서 진도학습,쌓기나무
T1ME11U03010,모으기와 가르기를 해 볼까요(1),14201786,기)교과서 진도학습,"2, 3, 4, 5를 모으고 가르기"
T1ME11U03011,모으기와 가르기를 해 볼까요(2),14201786,기)교과서 진도학습,"2, 3, 4, 5를 모으고 가르기"
T1ME11U03010,모으기와 가르기를 해 볼까요(1),14201787,기)교과서 진도학습,"6, 7, 8, 9를 모으고 가르기"
T1ME11U03011,모으기와 가르기를 해 볼까요(2),14201787,기)교과서 진도학습,"6, 7, 8, 9를 모으고 가르기"
T1ME11U01007,"6, 7, 8, 9를 알아볼까요",14201780,기)교과서 진도학습,"6, 7, 8, 9 알아보기"
T1ME11U01010,1만큼 더 큰 수와 1만큼 더 작은 수를 알아볼까요,14201782,기)교과서 진도학습,"1만큼 더 큰 수와 1만큼 더 작은 수, 0 알아보기"
T1ME11U01011,0을 알아볼까요,14201782,기)교과서 진도학습,"1만큼 더 큰 수와 1만큼 더 작은 수, 0 알아보기"
T1ME11U01012,수의 크기를 비교해 볼까요,14201783,기)교과서 진도학습,두 수의 크기 비교
T1ME11U04009,어느 것에 더 많이 담을 수 있을까요,14201795,기)교과서 진도학습,담을 수 있는 양 비교하기
T1ME11U04007,어느 것이 더 무거울까요,14201793,기)교과서 진도학습,무게 비교하기
T1ME21U04006,1 cm를 알아볼까요,14201816,기)교과서 진도학습,자로 길이 재기
T1ME21U04007,자로 길이를 재는 방법을 알아볼까요,14201816,기)교과서 진도학습,자로 길이 재기
T1ME21U04008,자로 길이를 재어 볼까요,14201816,기)교과서 진도학습,자로 길이 재기
T1ME11U05006,9 다음 수를 알아볼까요,14201798,기)교과서 진도학습,10 알아보기
T1ME11U04006,어느 것이 더 길까요,14201792,기)교과서 진도학습,길이 비교하기
T1ME11U04008,어느 것이 더 넓을까요,14201794,기)교과서 진도학습,넓이 비교하기
T1ME11U05009,10개씩 묶어 세어 볼까요,14201802,기)교과서 진도학습,두 수의 크기 비교
T1ME11U05012,수의 크기를 비교해 볼까요,14201802,기)교과서 진도학습,두 수의 크기 비교
T1ME21U05004,분류는 어떻게 할까요,14201818,기)교과서 진도학습,분류하기
T1ME21U05005,기준에 따라 분류해 볼까요,14201818,기)교과서 진도학습,분류하기
T1ME21U05006,분류하고 세어 볼까요,14201818,기)교과서 진도학습,분류하기
T1ME21U05007,분류한 결과를 말해 볼까요,14201818,기)교과서 진도학습,분류하기
T1ME21U06005,여러 가지 방법으로 세어 볼까요,14201819,기)교과서 진도학습,묶어 세기
T1ME21U06006,묶어 세어 볼까요,14201819,기)교과서 진도학습,묶어 세기
T1ME21U06007,몇의 몇 배를 알아볼까요,14201819,기)교과서 진도학습,묶어 세기
T1ME21U06008,몇의 몇 배로 나타내 볼까요,14201819,기)교과서 진도학습,묶어 세기
T1ME21U06009,곱셈을 알아볼까요,14201820,기)교과서 진도학습,곱셈식 알아보기
T1ME21U06010,곱셈식으로 나타내 볼까요,14201820,기)교과서 진도학습,곱셈식 알아보기
T1ME21U03018,□가 사용된 식을 만들고 □의 값을 구해 볼까요,14201812,기)교과서 진도학습,□의 값 구하기
T1ME11U05011,50까지 수의 순서를 알아볼까요,14201801,기)교과서 진도학습,50까지의 수의 순서
T1ME21U03016,세 수의 계산을 해 볼까요,14201813,기)교과서 진도학습,세 수의 계산
T1ME21U03017,덧셈과 뺄셈의 관계를 식으로 나타내 볼까요,14201811,기)교과서 진도학습,덧셈과 뺄셈의 관계
T1ME21U04005,여러 가지 단위로 길이를 재어 볼까요,14201815,기)교과서 진도학습,여러 가지 단위길이로 재기
T1ME21U04009,길이를 어림하고 어떻게 어림했는지 말해 볼까요,14201817,기)교과서 진도학습,길이를 어림해 보고 재어 보기
T1ME21U04004,길이를 비교하는 방법을 알아볼까요,14201814,기)교과서 진도학습,길이 비교하기
T1ME21U06010,곱셈식으로 나타내 볼까요,14201821,기)교과서 진도학습,곱셈식을 활용하기
T1ME12U01001,99까지의 수 알아보기,14201857,기)여름방학특강,몇십 알아보기
T1ME12U01004,"60, 70, 80, 90을 알아볼까요",14201857,기)교과서 진도학습,몇십 알아보기
T1ME12U01006,수를 넣어 이야기를 해 볼까요,14201857,기)교과서 진도학습,몇십 알아보기
T1ME12U01001,99까지의 수 알아보기,14201858,기)여름방학특강,99까지의 수 알아보기
T1ME12U01005,99까지의 수를 알아볼까요,14201858,기)교과서 진도학습,99까지의 수 알아보기
T1ME12U01006,수를 넣어 이야기를 해 볼까요,14201858,기)교과서 진도학습,99까지의 수 알아보기
T1ME12U01002,수의 크기 비교하기,14201859,기)여름방학특강,수의 순서 알아보기
T1ME12U01007,수의 순서를 알아볼까요,14201859,기)교과서 진도학습,수의 순서 알아보기
T1ME12U01002,수의 크기 비교하기,14201860,기)여름방학특강,두 수의 크기 비교하기
T1ME12U01008,수의 크기를 비교해 볼까요,14201860,기)교과서 진도학습,두 수의 크기 비교하기
T1ME12U02001,세 수의 덧셈과 뺄셈,14201863,기)여름방학특강,한 자리 세 수의 계산
T1ME12U02004,세 수의 덧셈을 해 볼까요,14201863,기)교과서 진도학습,한 자리 세 수의 계산
T1ME12U02005,세 수의 뺄셈을 해 볼까요,14201863,기)교과서 진도학습,한 자리 세 수의 계산
T1ME22U01001,"천, 몇천/네 자리 수와 자릿값",14201889,기)여름방학특강,1000과 몇천 알아보기
T1ME22U01004,천을 알아볼까요,14201889,기)교과서 진도학습,1000과 몇천 알아보기
T1ME22U01005,몇천을 알아볼까요,14201889,기)교과서 진도학습,1000과 몇천 알아보기
T1ME22U01001,"천, 몇천/네 자리 수와 자릿값",14201890,기)여름방학특강,네 자리 수 알아보기
T1ME22U01006,네 자리 수를 알아볼까요,14201890,기)교과서 진도학습,네 자리 수 알아보기
T1ME22U01007,각 자리의 숫자는 얼마를 나타낼까요,14201890,기)교과서 진도학습,네 자리 수 알아보기
T1ME22U01002,뛰어 세기/수의 크기 비교하기,14201892,기)여름방학특강,두 수의 크기 비교
T1ME22U01009,수의 크기를 비교해 볼까요,14201892,기)교과서 진도학습,두 수의 크기 비교
T1ME22U01002,뛰어 세기/수의 크기 비교하기,14201891,기)여름방학특강,뛰어 세기
T1ME22U01008,뛰어 세어 볼까요,14201891,기)교과서 진도학습,뛰어 세기
T1ME22U02001,"2단, 5단, 3단, 6단, 4단, 8단 곱셈구구",14201893,기)여름방학특강,"2단, 3단, 5단, 6단 곱셈구구"
T1ME22U02004,2단 곱셈구구를 알아볼까요,14201893,기)교과서 진도학습,"2단, 3단, 5단, 6단 곱셈구구"
T1ME22U02005,5단 곱셈구구를 알아볼까요,14201893,기)교과서 진도학습,"2단, 3단, 5단, 6단 곱셈구구"
T1ME22U02006,"3단, 6단 곱셈구구를 알아볼까요",14201893,기)교과서 진도학습,"2단, 3단, 5단, 6단 곱셈구구"
T1ME22U02001,"2단, 5단, 3단, 6단, 4단, 8단 곱셈구구",14201894,기)여름방학특강,"4단, 7단, 8단, 9단 곱셈구구"
T1ME22U02002,"7단, 9단 곱셈구구/1, 0의 곱/곱셈표",14201894,기)여름방학특강,"4단, 7단, 8단, 9단 곱셈구구"
T1ME22U02007,"4단, 8단 곱셈구구를 알아볼까요",14201894,기)교과서 진도학습,"4단, 7단, 8단, 9단 곱셈구구"
T1ME22U02008,7단 곱셈구구를 알아볼까요,14201894,기)교과서 진도학습,"4단, 7단, 8단, 9단 곱셈구구"
T1ME22U02009,9단 곱셈구구를 알아볼까요,14201894,기)교과서 진도학습,"4단, 7단, 8단, 9단 곱셈구구"
T1ME12U02002,10을 만들기,14201865,기)여름방학특강,10이 되는 더하기
T1ME12U02006,10이 되는 더하기를 해 볼까요,14201865,기)교과서 진도학습,10이 되는 더하기
T1ME12U02002,10을 만들기,14201866,기)여름방학특강,10에서 빼기
T1ME12U02007,10에서 빼기를 해 볼까요,14201866,기)교과서 진도학습,10에서 빼기
T1ME12U02002,10을 만들기,14201867,기)여름방학특강,10을 만들어 더하기
T1ME12U02008,10을 만들어 더해 볼까요,14201867,기)교과서 진도학습,10을 만들어 더하기
T1ME22U02002,"7단, 9단 곱셈구구/1, 0의 곱/곱셈표",14201895,기)여름방학특강,1단 곱셈구구와 0의 곱
T1ME22U02010,1단 곱셈구구와 0의 곱을 알아볼까요,14201895,기)교과서 진도학습,1단 곱셈구구와 0의 곱
