mcode,l_title,f_mchapter_id,l_type_nm,f_mchapter_nm
T1ME11U01001,"1, 2, 3, 4, 5 알아보기",14201779,탭)겨울방학특강,"1, 2, 3, 4, 5 알아보기"
T1ME11U01006,"1, 2, 3, 4, 5를 알아볼까요",14201779,기)교과서 진도학습,"1, 2, 3, 4, 5 알아보기"
T1ME11U01017,그림의 개수 세어 보기(1~5),14201779,탭)AI 약점 보완 학습,"1, 2, 3, 4, 5 알아보기"
T1ME11U01018,수 알아보기(1~5),14201779,탭)AI 약점 보완 학습,"1, 2, 3, 4, 5 알아보기"
T1ME11U01068,단원마무리,14201779,탭)영역별 집중 학습,"1, 2, 3, 4, 5 알아보기"
T1ME11U01069,몇인지 알아보기 (1),14201779,탭)단원별 보충 학습,"1, 2, 3, 4, 5 알아보기"
T1ME11U01003,순서 알아보기/수의 순서 알아보기,14201781,탭)겨울방학특강,9까지 수의 순서
T1ME11U01008,순서를 알아볼까요,14201781,기)교과서 진도학습,9까지 수의 순서
T1ME11U01021,몇째인지 알아보기,14201781,탭)AI 약점 보완 학습,9까지 수의 순서
T1ME11U01022,몇째에 있는 것 찾기,14201781,탭)AI 약점 보완 학습,9까지 수의 순서
T1ME11U01009,수의 순서를 알아볼까요,14201781,기)교과서 진도학습,9까지 수의 순서
T1ME11U01023,1~9까지 수의 순서,14201781,탭)AI 약점 보완 학습,9까지 수의 순서
T1ME11U01068,단원마무리,14201781,탭)영역별 집중 학습,9까지 수의 순서
T1ME11U01071,몇째인지 알아보기,14201781,탭)단원별 보충 학습,9까지 수의 순서
T1ME11U03004,덧셈하기(2),14201789,탭)겨울방학특강,덧셈
T1ME11U03004,덧셈하기(2),14201789,탭)겨울방학특강,덧셈
T1ME11U03003,덧셈 알아보기/덧셈하기(1),14201789,탭)겨울방학특강,덧셈
T1ME11U03003,덧셈 알아보기/덧셈하기(1),14201789,탭)겨울방학특강,덧셈
T1ME11U03088,단원마무리,14201789,탭)영역별 집중 학습,덧셈
T1ME11U03088,단원마무리,14201789,탭)영역별 집중 학습,덧셈
T1ME11U03092,"덧셈하기 (1), (2)",14201789,탭)단원별 보충 학습,덧셈
T1ME11U03092,"덧셈하기 (1), (2)",14201789,탭)단원별 보충 학습,덧셈
T1ME11U03096,덧셈과 뺄셈,14201789,탭)단원별 보충 학습,덧셈
T1ME11U03096,덧셈과 뺄셈,14201789,탭)단원별 보충 학습,덧셈
T1ME11U03028,여러 가지 방법으로 덧셈하기,14201789,탭)AI 약점 보완 학습,덧셈
T1ME11U03028,여러 가지 방법으로 덧셈하기,14201789,탭)AI 약점 보완 학습,덧셈
T1ME11U03013,덧셈을 해 볼까요,14201789,기)교과서 진도학습,덧셈
T1ME11U03013,덧셈을 해 볼까요,14201789,기)교과서 진도학습,덧셈
T1ME11U03029,그림을 보고 덧셈하기,14201789,탭)AI 약점 보완 학습,덧셈
T1ME11U03029,그림을 보고 덧셈하기,14201789,탭)AI 약점 보완 학습,덧셈
T1ME11U03012,덧셈을 알아볼까요,14201789,기)교과서 진도학습,덧셈
T1ME11U03012,덧셈을 알아볼까요,14201789,기)교과서 진도학습,덧셈
T1ME11U03026,그림을 보고 덧셈식으로 나타내기,14201789,탭)AI 약점 보완 학습,덧셈
T1ME11U03026,그림을 보고 덧셈식으로 나타내기,14201789,탭)AI 약점 보완 학습,덧셈
T1ME11U03025,6~9를 모으고 가르기,14201789,탭)AI 약점 보완 학습,덧셈
T1ME11U03025,6~9를 모으고 가르기,14201789,탭)AI 약점 보완 학습,덧셈
T1ME11U03027,덧셈식을 쓰고 읽기,14201789,탭)AI 약점 보완 학습,덧셈
T1ME11U03027,덧셈식을 쓰고 읽기,14201789,탭)AI 약점 보완 학습,덧셈
T1ME11U03035,선택한 수가 계산한 값이 되는 덧셈식 만들기,14201789,탭)AI 약점 보완 학습,덧셈
T1ME11U03035,선택한 수가 계산한 값이 되는 덧셈식 만들기,14201789,탭)AI 약점 보완 학습,덧셈
T1ME21U01004,수의 크기 비교하기,14201806,탭)겨울방학특강,두 수의 크기 비교
T1ME21U01011,수의 크기를 비교해 볼까요,14201806,기)교과서 진도학습,두 수의 크기 비교
T1ME21U01026,세 자리 수의 크기 비교하기,14201806,탭)AI 약점 보완 학습,두 수의 크기 비교
